"","Genotype","Batch","Sample","nclusters_final_downsampled","nclusters_eff_downsampled","mean_cluster_size_downsampled","std_cluster_size_downsampled","cluster_gini_downsampled","cluster_entropy_downsampled","cluster_inverse_simpson_downsampled","top_clone_occupancy_downsampled","big_clones_occupancy_downsampled","alpha_ratio_clusters","frac_clusters_Sa","frac_clusters_Sg3","frac_clusters_Sg2b","frac_clusters_Sg2c","frac_clusters_Sm","frac_clusters_Sg1","insert_frequency","frac_breaks_inversions","frac_breaks_duplications","median_duplication_size","median_inversion_size","homology_fw","homology_rv","donor_score_S","donor_score_W","donor_score_WGCW","donor_score_GAGCT","donor_score_GGGST","donor_complexity","acceptor_score_S","acceptor_score_W","acceptor_score_WGCW","acceptor_score_GAGCT","acceptor_score_GGGST","acceptor_complexity","n_homology_switch","n_untemplated_switch","frac_blunt","mean_length","std_length","mean_GC","std_GC","mean_length_SA","mean_length_SG","std_length_SA","std_length_SG","frac_breaks_single","frac_breaks_sequential","frac_breaks_intra","mean_intra_break_size","std_intra_break_size","spread_SM","spread_SA","spread_SG","spread_SG1","spread_SG2B","spread_SG2C","spread_SG3","frac_breaks_SM_SM","frac_breaks_SM_SG","frac_breaks_SG_SG","frac_breaks_SM_SA","frac_breaks_SG_SA","frac_breaks_SA_SA","homology_fw_SM_SA","homology_rv_SM_SA","homology_fw_SM_SG","homology_rv_SM_SG","donor_score_GAGCT_SM_SG","donor_score_GGGST_SM_SA","donor_score_GGGST_SM_SG","donor_score_S_SM_SA","donor_score_S_SM_SG","donor_score_W_SM_SA","donor_score_W_SM_SG","donor_score_WGCW_SM_SA","donor_score_WGCW_SM_SG","donor_score_GAGCT_SM_SA","donor_complexity_SM_SG","donor_complexity_SM_SA","acceptor_score_GAGCT_SM_SA","acceptor_score_GAGCT_SM_SG","acceptor_score_GGGST_SM_SA","acceptor_score_GGGST_SM_SG","acceptor_score_S_SM_SA","acceptor_score_WGCW_SM_SG","acceptor_score_S_SM_SG","acceptor_score_W_SM_SA","acceptor_score_W_SM_SG","acceptor_score_WGCW_SM_SA","acceptor_complexity_SM_SA","acceptor_complexity_SM_SG","n_homology_switch_SA","n_homology_switch_SG","n_untemplated_switch_SA","n_untemplated_switch_SG","frac_blunt_SA","frac_blunt_SG","nclusters_final","nclusters_eff","mean_cluster_size","std_cluster_size","cluster_gini","cluster_entropy","cluster_inverse_simpson","top_clone_occupancy","big_clones_occupancy","frac_variants_germline","frac_variants_transitions","num_variants"
"1","Rif1 KO","20220425","20220425_Rif1_3",40.9,31.6250650118724,0.0247248106460818,0.0197554567232823,0.443602067837894,0.909691706472356,24.5449449739231,0.0821568255013315,0.938523528640155,0.928571428571429,0.928571428571429,0.0714285714285714,0,0,0,0,0.0892857142857142,0,0,1430,0,0.120709260812193,0.0160195997707531,0.0015731496995519,0.001179663569295,0.0040228980629977,0.001108976979361,0,0.0008492842646456,0.0014132921516462,0.0013611793589504,0.0018135279156282,0.0006448491207616,0.0007279829795358,0.0011285991472992,2.85539018801701,13.8196717609804,0,2045.17857142857,803.331214095915,0.496776924657351,0.021987902680904,1885.15384615385,4125.5,570.653316033992,375.162298212387,0.835724460507163,0,0.164275539492837,213.516628404419,83.6166358385411,311.685105642915,397.468404304245,527.111239008861,0,0,0,527.111239008878,6.08172921390729e-05,0.0596946043219401,0,0.776029856185223,0,0.164214722200698,0.111219394445173,0.0134071830373348,0.0967342248947077,0.0432144885879797,0.0597090728884898,0,0,0.0160403451346444,0.0160403451346444,0.0121755194762079,0.0121755194762079,0.0228842926742757,0.0228842926742757,0.0597090728884898,0.0103209326325906,0.0103209326325906,0,0.0113049095607235,0.0063488379187907,0,0.0125174048954866,0.0025094102885821,0.002122064726718,0.0124800553343564,0.0013403530734943,0.0147435878802301,0.0117449292019549,0.0016710756564368,2.93960856460074,1.76055129242849,14.1589692865272,9.4088039288723,0,0,56,43.1588687288569,0.0178571428571428,0.0196437142486777,0.572326683482382,0.857028075213715,25.588342603717,0.0776410439331787,0.924439688484632,0.08,0.88,25
"2","Brca1 KO","20220425","20220425_BRCA1_4",222.2,157.11972314603,0.004506712194687,0.0037196056252268,0.412203299601002,0.947413173727696,132.162006741442,0.0229715489989462,0.258904109589041,0.839160839160839,0.839160839160839,0.0209790209790209,0.132867132867133,0.0034965034965034,0.0034965034965034,0,0.0139860139860139,0,0,1823,0,0.107420443552469,0.0142811240562615,0.0015322750878718,0.0012260760628755,0.0039077956598031,0.0006070216113465,0.0006275955863199,0.0008922531011348,0.0014137570928588,0.0013606514253467,0.0018360741230523,0.0002128241833589,9.81954296267902e-06,0.001170416580256,2.38025140708667,3.86634055861204,0.0034965034965034,2267.4020979021,974.494738651746,0.498462498849247,0.0172662697335549,1903.4125,4235.44444444444,468.6939129223,501.860872954317,0.946616216030961,0.0033214604071261,0.0500623235619126,324.619730109948,268.234614103625,366.979767214994,334.839332099487,6119.08871781642,0,684.71732704197,16.3186812337116,367.327876235323,0.0199648492027086,0.152787178727804,0.0001660730203563,0.793829037303157,0.0033214604071261,0.0299314013388476,0.113202937470832,0.0113103740667309,0.0782875979634755,0.0278888862782253,0.0282604051466607,0.0066552666829078,0.0066552666829078,0.0153900705773223,0.0153900705773223,0.0129575677323706,0.0129575677323706,0.0212082857578338,0.0212082857578338,0.0282604051466607,0.0114983958466777,0.0114983958466777,0,0.0014556235341648,0,8.22557825815155e-05,0.0125884178107653,0.0023846283401545,0.0018558364296288,0.0123986800194233,0.0016401454005783,0.0149900118360554,0.0118179291163822,0.0017687810631662,2.45501309844433,1.98152238651246,3.7804990038367,4.3241621840805,0.0041666666666666,0,286,263.098365831865,0.0034965034965034,0.0032018582053328,0.464663463379036,0.936066719295598,155.804645879452,0.0182557062242061,0.206898003874337,0.228915662650602,0.855421686746988,83
"3","Rif1 KO","20220425","20220425_Rif1_4",30.1,17.7031773797175,0.0337173308597332,0.0392588975615364,0.57873399687043,0.823016351793815,12.5286814410816,0.167563974085467,0.933984001210258,0.945945945945946,0.945945945945946,0.027027027027027,0.027027027027027,0,0,0,0.027027027027027,0,0,1810,0,0.119506898301209,0.0106428728858376,0.0015375000061097,0.0012201432484901,0.0037901695294855,0.0003960017785586,6.87134274265917e-08,0.0008983363391819,0.0013944796336501,0.0013825406841066,0.0016299771671392,0.0002467911459453,2.86633154408068e-06,0.0010515326235164,2.62626202042988,12.7176472658813,0,2009.18918918919,798.742485912729,0.495240342506225,0.0220528050222557,1876.77142857143,4326.5,591.609527872386,31.5,0.821814515998004,0,0.178185484001996,395.431778407708,120.803006873284,329.762658166682,398.922355709385,8861.67336364825,0,101.342489500794,0,21.2870707704929,7.91444090642883e-05,0.0444224062701624,7.6327158539798e-05,0.777392109727841,0,0.178030012434392,0.104701014569696,0.0111074918790839,0.0943916003061805,0.0391603254720071,0.021681734381929,8.56938877924588e-07,8.56938877924588e-07,0.0156348760281821,0.0156348760281821,0.0126631541284731,0.0126631541284731,0.0210698914235921,0.0210698914235921,0.021681734381929,0.0106240911465323,0.0106240911465323,0,0.0058039810124057,2.46005593928152e-05,0,0.0124137828726408,0.0024706715362713,0.0020204946453173,0.0125987981674029,0.0014547283348702,0.0131852384601866,0.0109238099481708,0.0017068893863728,2.6426566977395,2.3393551675116,13.3612051732836,1.45538388634067,0,0,37,24.1768070294499,0.027027027027027,0.0375355912487256,0.650375873503836,0.784088286871604,12.8620392331763,0.1660663507109,0.925876777251185,0.287878787878788,0.787878787878788,66
"4","Brca1 KO","20220425","20220425_BRCA1_5",186.4,134.488129994583,0.0053727281095243,0.0043972185085321,0.40474077950642,0.947070505531802,111.489878581526,0.0307692307692307,0.318651211801897,0.839449541284404,0.839449541284404,0.0229357798165137,0.128440366972477,0.0091743119266055,0,0,0.0321100917431192,0.0043628478826143,0,1787.5,328,0.11693714435072,0.0135269382617563,0.0015261501782246,0.0012330308036791,0.003736184903995,0.0005836760164402,0.0006089421766871,0.0008959093255761,0.0014346031865523,0.0013369810062293,0.001924106124425,9.01662966942925e-05,0,0.0011060370171895,2.55004947301497,4.59540424102171,0.0137614678899082,2364.53669724771,1093.74915403673,0.50038201074657,0.0171236348852025,1945.10928961749,4557.54285714286,479.431014167207,721.296663471206,0.950886563959481,0,0.0491134360405189,239.460692384473,125.433455962366,390.253379814325,351.208579590571,6373.22181962611,0,667.193023682786,620.280215792435,603.885823275232,0.0092146629196985,0.153368800638626,0.0046748307304794,0.797517763320855,0,0.0352239423903409,0.121181944528231,0.01074501637568,0.0700992736297781,0.0301632783435821,0.0273569286284392,0.0065010408655881,0.0065010408655881,0.0153231096734678,0.0153231096734678,0.0130380978061691,0.0130380978061691,0.0203213648383215,0.0203213648383215,0.0273569286284392,0.0116547444457495,0.0116547444457495,0,0.000597050808808,0,0,0.0127792534380235,0.0025341078507094,0.0018639749725386,0.0121799971332519,0.0016309808123483,0.0155752154027075,0.0109794045185117,0.0017797262288364,2.58529633430003,2.36676579433266,5.15849417548387,1.66733658181845,0.0163934426229508,0,218,212.760896734943,0.0045871559633027,0.0038802856546363,0.428236669356624,0.942395070711082,127.316494970794,0.0309276180049686,0.215630131795023,0,0.75,8
"5","Lig4 KO","20220425","20220425_Lig4_4",170.1,19.1129298884177,0.0058951802406559,0.0387762757899366,0.74139592655691,0.5685782440872,3.83488899471805,0.502950474183351,0.633614330874605,0.88955223880597,0.88955223880597,0.0149253731343283,0.0865671641791044,0.0029850746268656,0.0059701492537313,0,0.0149253731343283,0.166729443291895,0,1666.5,410,0.116373871313019,0.0145684722000358,0.001496868707192,0.0012662794641671,0.0034857942642157,0.0003858592054079,0.0007149935377435,0.0009689823981099,0.0013935721087196,0.0013835711647223,0.0018665610887877,0.0002780099644489,0.0001647216098231,0.0011654263462509,2.46621605650265,5.75032754279699,0.0059701492537313,1968.08059701493,821.670931016338,0.494602534899947,0.0181241430121747,1775.8322147651,3635.71428571429,510.618205427388,1062.95963023541,0.877077550620274,0,0.122922449379726,431.469189791003,641.416670533613,334.083486084412,391.190057402882,6734.0488976393,0,1501.3017425869,494.34409480954,653.616450801873,0.0588023476743907,0.0879743439831888,0.0133294460580589,0.789103206637085,0,0.0507906556472763,0.118723370509241,0.0122279932290861,0.0671505667640818,0.0246866002756934,0.0128270665647514,0.0078307951428651,0.0078307951428651,0.0150384504229136,0.0150384504229136,0.0133804413101397,0.0133804413101397,0.0192078036821867,0.0192078036821867,0.0128270665647514,0.0124110319116351,0.0124110319116351,0,0.0016457706176188,0.0009733841321379,0.0008223684210526,0.012505908355222,0.0021643727943309,0.0017963162167834,0.0124932294813549,0.0017071694671878,0.0151381468779343,0.0118699686866718,0.0017482306637272,2.54852342990013,1.82126176592327,5.56946792871478,7.67723790735455,0.0067114093959731,0,335,33.8052739534365,0.0029850746268656,0.0278895114246886,0.788523188823004,0.537659073314263,3.80548530247614,0.505453550071591,0.622189000252674,0.296296296296296,0.944444444444444,54
"6","WT","20220425","20220425_WT_2",320.9,109.747258911557,0.0031185446529267,0.012918441265169,0.554253500967158,0.806445208463617,17.7734877439841,0.221812434141201,0.336143308746048,0.910761154855643,0.910761154855643,0.0249343832020997,0.0629921259842519,0,0.0013123359580052,0,0.0183727034120734,0.0173022564071218,0.0060896514816732,1812,367,0.107305799333372,0.0142042609196162,0.0014967929475513,0.0012663654880751,0.00364749009123,0.000463302910288,0.0005972243487418,0.0009759787350163,0.0014192350595951,0.0013544312782791,0.0017739579095186,0.0002002207858335,0.000108028557525,0.0010832667169514,2.19927915884448,7.24307718777648,0.0118110236220472,2025.9750656168,816.822494528189,0.496925325967575,0.0167910208808703,1821.4711815562,4153.0447761194,456.156883314758,685.588851004715,0.840435170405466,0.0066437562877902,0.152921073306744,348.159873846075,329.457731993651,343.893146224322,386.617065404008,7601.02922490886,0,911.754315639823,0,412.136043474164,0.0586970623612978,0.0819396608827467,0.0011995671075176,0.758495509522719,0.0066437562877902,0.0930244438379282,0.105881699513033,0.0123969377034461,0.0843815985283286,0.0243663746990033,0.0231875025754645,0.0068082862025394,0.0068082862025394,0.0150769968743202,0.0150769968743202,0.0133340836835582,0.0133340836835582,0.0201209802127154,0.0201209802127154,0.0231875025754645,0.0122460318425792,0.0122460318425792,0,0.0021939447125932,0.0010322438035375,0,0.0126288795913363,0.0024603976649945,0.0018914292311835,0.0123523139446918,0.0016000653304949,0.0132719528537826,0.0111166833574856,0.0017531936565299,2.2378867928367,1.80052568537261,5.86819929844296,21.4433085223854,0.0086455331412103,0.044776119402985,762,214.334111587536,0.0013123359580052,0.0086410147254054,0.670134379178937,0.762547368500102,17.2016298842991,0.227839306017602,0.332631490293511,0.339622641509434,0.924528301886792,53
"7","WT","20220425","20220425_WT_3",215.6,70.4310222656843,0.0046481354911852,0.0182652324283692,0.583945750256665,0.787966793760985,13.132649436336,0.264278187565859,0.421917808219178,0.868167202572347,0.868167202572347,0.022508038585209,0.102893890675241,0,0.0064308681672025,0,0.0192926045016077,0.0056153138886827,0.0083759151300463,1795.5,496,0.112250576511099,0.0115443634853413,0.0015233658045726,0.0012361924171829,0.0039512346520177,0.000457231360506,0.0007112151530895,0.0009084247258257,0.0014223476376622,0.0013508969937044,0.0018669269760271,0.0002863154445378,0,0.0011091602668396,2.31352754653348,8.24361927486592,0.0032154340836012,2222.40514469453,914.701154704236,0.499010604082241,0.0162579515007606,1948.04444444444,4166.46153846154,453.526280289886,950.892127564583,0.872129449547351,0,0.127870550452649,260.047311913522,178.356043773501,323.472866327095,326.998396656214,6974.94757865549,0,901.294836933612,0,439.609763780662,0.0511734354627662,0.110431975754373,0.0001243260456751,0.761697473792978,0,0.0765727889442073,0.112369196002561,0.0085949019224823,0.0687174220172369,0.0310882252271084,0.0222845737371959,0.0078707865436201,0.0078707865436201,0.0153724285022125,0.0153724285022125,0.0129787848535379,0.0129787848535379,0.0217238297375636,0.0217238297375636,0.0222845737371959,0.0113823271982512,0.0113823271982512,0,0.0021144948413221,0,0,0.01263261406298,0.0023217448247224,0.0018766741171567,0.012348034528688,0.0016166806565847,0.0141771879513816,0.0113287829052815,0.0017729144331731,2.33934996188176,2.13541909195177,7.64232853670992,12.3909835970189,0.0037037037037037,0,311,119.947510473042,0.0032154340836012,0.0148556701515918,0.619647353117064,0.778148933886283,13.9607042765065,0.256738544474393,0.352825977088949,0.21,0.88,100
"8","WT","20221118","20221118_WT_7_switch",210.7,104.164987981174,0.0047544606411114,0.0091775873799605,0.488885065358668,0.893932245865416,44.9683777937785,0.126448893572181,0.332982086406744,0.888135593220339,0.888135593220339,0.0305084745762711,0.0779661016949152,0.0033898305084745,0,0,0.0406779661016949,0.0060965642007284,0.0091448463010926,1806,438.5,0.126156570621274,0.0138135152904472,0.001516167289891,0.0012443662200086,0.0037800641712164,0.0007845754129684,0.0005536914619392,0.0009618891220431,0.0014208450846404,0.001352603119576,0.0019505087652244,0.0002413834465693,0.0003674090009926,0.0011843810978217,2.27555361540364,5.89438827464324,0.0033898305084745,2071.5220338983,899.856978479301,0.496208397154064,0.0178928915632138,1802.8320610687,4204.75757575758,465.080780189699,630.430878642249,0.910065621223743,0,0.0899343787762576,429.792536944449,217.819735339729,358.896622560896,321.95341724296,8012.13771994236,0,592.441895668249,0,482.639061776749,0.0434160870221844,0.10215022279042,0,0.807915398433322,0,0.0465182917540731,0.132748449018429,0.0117684851541967,0.0881259488864976,0.0176072448634085,0.0370283910831732,0.0059522248154273,0.0059522248154273,0.0152129604392123,0.0152129604392123,0.0131705680306262,0.0131705680306262,0.0203851577542463,0.0203851577542463,0.0370283910831732,0.012204574631825,0.012204574631825,0,0.0021205714651803,0.002171077532646,0,0.0126370745536587,0.0024802833552859,0.0018805016457297,0.0123429231509575,0.0016123705824475,0.0151721528706087,0.0122762242173567,0.0017629099550309,2.319986399457,1.92278423898002,6.50834034291777,1.01998094470606,0.0038167938931297,0,295,193.856426215629,0.0033898305084745,0.0077643832978438,0.561145493489632,0.873716909220377,47.3623638616569,0.126247526003285,0.25961174043037,0.26027397260274,0.808219178082192,73
"9","Brca1 KO","20221118","20221118_BRCA1_7_switch",88.6,72.9740833904242,0.0113064088764818,0.008248811771295,0.376392668359425,0.947326015612144,57.8345149860363,0.0524052633685024,0.75886231565094,0.872549019607843,0.872549019607843,0.0392156862745098,0.088235294117647,0,0,0,0.0098039215686274,0,0,1956,0,0.127506711110624,0.0128415041041278,0.0015572363011351,0.0011977329887098,0.0040648380759249,0.000639423683304,0.0003352607076228,0.0008635002136767,0.0014355792203671,0.0013358727348281,0.0018933310659228,0.0004243123724863,0.0004455656825733,0.0011834879462027,2.36851396067084,5.33065498079666,0,2261.45098039216,843.458189945011,0.501107692829409,0.0186511559537333,1997.89887640449,4065.76923076923,501.717612614632,357.085887933067,0.980606663351566,0,0.0193933366484336,426.103038936372,32.8389451041167,380.804974948744,295.370820205273,8292.77314900304,0,466.194188970422,0,369.461250400958,0,0.124979280623239,0.0001657550140891,0.855627382728328,0,0.0192275816343444,0.130101213296745,0.0096406043776585,0.0928622761127866,0.0319092071956959,0.0292586103214693,0.0035043839508385,0.0035043839508385,0.015601529856985,0.015601529856985,0.0127032576735692,0.0127032576735692,0.0217569194305296,0.0217569194305296,0.0292586103214693,0.0109809961494674,0.0109809961494674,0,0.0035482656536098,0.0041762792073351,0,0.0127035555454465,0.0026014589294106,0.0019802648371616,0.0122667410702393,0.001500030009925,0.0154662970674109,0.0120793058082674,0.0017631693620353,2.40599509558238,2.11191234473798,5.92046481281739,1.2927261308086,0,0,102,97.9398603376202,0.0098039215686274,0.0079316806063051,0.422173996351125,0.934387716604037,61.8888903370839,0.0516215833451352,0.760798753717604,0.226190476190476,0.797619047619048,84
"10","Lig4 KO","20221118","20221118_Lig4_7_switch",143.8,25.5977506855541,0.0069596790478066,0.0276368839624591,0.719994755754309,0.661428061006274,8.58804430434753,0.244467860906217,0.632349841938883,0.925581395348837,0.925581395348837,0.0186046511627906,0.0511627906976744,0.0046511627906976,0,0,0.0232558139534883,0.123839606024922,0.0038934145279261,1460,410,0.114112880334129,0.0184075095758493,0.0014256491056861,0.0013471482274858,0.0031127109514362,0.000677816326295,0.0014088162559891,0.0011150518967489,0.0013828419383486,0.0013957551083242,0.001742888700442,0.0001983803695002,0.0001850390350563,0.0011872574668635,2.23033036552663,6.41182290459121,0.0046511627906976,1686.34418604651,631.603181760814,0.488410171615632,0.0168175569293057,1594.63316582915,2827,480.034463906727,1043.45783335983,0.937347245888744,0,0.0626527541112562,192.207238633309,106.504555531568,269.729546436543,374.187517858963,8516.88156921354,0,1143.04492072077,0,392.464659959123,0.049100154370706,0.0714169330200948,0,0.865930312868649,0,0.0135525997405502,0.117862378934528,0.0168546321943768,0.0763968058407719,0.0245942808974132,0.0309207917981792,0.014638759877202,0.014638759877202,0.0143014760856055,0.0143014760856055,0.0142667584646996,0.0142667584646996,0.0165541498297336,0.0165541498297336,0.0309207917981792,0.0142195120942906,0.0142195120942906,0,0.002906976744186,0.001725241122605,0,0.0124573393684649,0.0023851457203908,0.0017820775755804,0.012548885788068,0.0017232032075056,0.0142368271175522,0.0122191747925357,0.0017460016653759,2.30885474572211,1.27331448189428,6.08814992065696,10.3565873962898,0.0050251256281407,0,215,45.8583140593633,0.0046511627906976,0.0222342504899335,0.757768570032347,0.643706184841929,9.05431252369217,0.236829915357729,0.605887059418032,0,0.933333333333333,15
"11","Trp53bp1 KO","20221118","20221118_53BP1_7_switch",96.7,60.9638425736738,0.0104084098242263,0.0166737150892746,0.457237885880343,0.891268313119479,26.9850008438118,0.162819067817334,0.715145300627354,0.972477064220184,0.972477064220184,0.0091743119266055,0.018348623853211,0,0,0,0.055045871559633,0.0170932054508333,0,1381,508,0.130418709586507,0.0151226202536052,0.0014973195716644,0.0012657675144856,0.0034461548748995,0.0004647981199581,0.000470155305786,0.0009941880201457,0.0013797370554875,0.0013992806551107,0.0019805665137733,2.14697089244213e-05,0.0004241576641166,0.0011594910623484,2.95733224726839,4.38311685024293,0.0091743119266055,1600.28440366972,508.502786867651,0.486848367658892,0.0162953060299403,1581.83018867925,2252.33333333333,501.341605221808,277.296872603273,0.921694604125404,0,0.0783053958745956,340.88279683939,130.112458199102,298.028640328274,380.511849621522,8809.17801409136,0,15.7134840263472,0,368.178700572909,0.069610163760205,0.0260856963431718,0.0086952321143906,0.895608907782232,0,0,0.121157020406286,0.014041611520113,0.0143511912261912,0.0216075324178122,0.0167136282177467,0.0048613625601601,0.0048613625601601,0.0150104857518627,0.0150104857518627,0.0134140728308308,0.0134140728308308,0.018357790859453,0.018357790859453,0.0167136282177467,0.0126715029911302,0.0126715029911302,0,0.0006459948320413,0.003883495145631,0,0.0122288632208789,0.0027533807333054,0.0016948216848846,0.0128107018026837,0.0018214596543578,0.014285812739505,0.0123668093501799,0.001764738133421,2.97457746295986,2.35949810329734,3.63071937686142,30.4662292608018,0.0094339622641509,0,109,81.0524601357457,0.0091743119266055,0.0158551712160423,0.494772350185438,0.875992407380961,27.5299705789213,0.161768617021277,0.711236702127659,0.285714285714286,0.904761904761905,42
