"","Genotype","Batch","Sample","clusters","clusters_eff","cluster_size_mean","cluster_size_std","cluster_gini","cluster_entropy","cluster_inverse_simpson","occupancy_top_cluster","occupancy_big_clusters","alpha_ratio_clusters","pct_clusters_Sa","pct_clusters_Sm","pct_templated_inserts","pct_inversions","pct_duplications","duplication_size","inversion_size","homology_score_fw","homology_score_rv","donor_score_S","donor_score_W","donor_score_WGCW","donor_score_GAGCT","donor_score_GGGST","donor_complexity","acceptor_score_S","acceptor_score_W","acceptor_score_WGCW","acceptor_score_GAGCT","acceptor_score_GGGST","acceptor_complexity","homology","untemplated_inserts","pct_blunt","read_length_mean","read_length_std","GC_content_mean","GC_content_std","read_length_SA_mean","read_length_SA_std","pct_direct_switch","pct_sequential_switch","pct_intraswitch_deletion","intraswitch_size_mean","intraswitch_size_std","break_dispersion_SM","break_dispersion_SA","pct_breaks_SM_SM","pct_breaks_SM_SA","pct_breaks_SA_SA","homology_score_fw_SM_SA","homology_score_rv_SM_SA","donor_score_GGGST_SM_SA","donor_score_S_SM_SA","donor_score_W_SM_SA","donor_score_WGCW_SM_SA","donor_score_GAGCT_SM_SA","donor_complexity_SM_SA","acceptor_score_GAGCT_SM_SA","acceptor_score_GGGST_SM_SA","acceptor_score_S_SM_SA","acceptor_score_W_SM_SA","acceptor_score_WGCW_SM_SA","acceptor_complexity_SM_SA","homology_SA","untemplated_inserts_SA","pct_blunt_SA","clusters_raw","clusters_eff_raw","cluster_size_mean_raw","cluster_size_std_raw","cluster_gini_raw","cluster_entropy_raw","cluster_inverse_simpson_raw","occupancy_top_cluster_raw","occupancy_big_clusters_raw","somatic_variants","frac_variants_transitions","num_variants"
"1","Rif1 KO","20220425","20220425_Rif1_3",41.2,29.3435455210314,0.024524512357895,0.020562578791827,0.464463937798759,0.901034555882327,23.8785721550671,0.0818478700653141,0.937454482399861,1,100,0,10,0,0,913,0,0.122434735256076,0.0133224777589109,0.0074133245704017,0.0057915654397869,0.0123933487536417,0.0238061767032637,0,0.0050214842920567,0.0066116423284979,0.0067311565295594,0.0058851594160042,0,0.0037032265311328,0.0063798154306342,2.97747027413121,14.032924075058,0,1898.36,564.76394219178,0.494809253486404,0.0201207228861482,1898.36,564.76394219178,83.322596950488,0,16.677403049512,210.792019314004,87.2258952811948,301.205696595484,394.365056819912,0.00679117287478066,83.322596950488,16.6706118766372,0.112168191422727,0.0125950793277746,0,0.0159716400452086,0.0122581471828862,0.0220498429135071,0.0571375291224281,0.0106927702941816,0,0.006666260473312,0.0125268575855063,0.0124692232818446,0.0148980072822976,0.0116439711613963,2.97747027413121,14.032924075058,0,50,40.1842210604801,0.0199999999999999,0.0206664419373812,0.548293143919763,0.864067421334335,24.4331572896772,0.0796268633966405,0.937475230924001,19,0.909090909090909,22
"2","Brca1 KO","20220425","20220425_BRCA1_4",196.3,149.060151673955,0.0051021509676652,0.0038340966653975,0.38441582957325,0.953655965583674,125.425307544756,0.0217070600632243,0.285142255005269,0.995433789954338,99.5433789954338,0.45662100456621,1.82648401826484,0,0,1736,0,0.115947852195851,0.0115307897109276,0.0071544102337929,0.0060950193408166,0.0120091361991588,0.0132353183586386,0.0027485695253886,0.0053510477517195,0.006642049172964,0.0066955189681479,0.0060989994913217,2.12670088108176e-06,1.63174797332249e-06,0.006554632611111,2.53957781914841,2.93487738262835,0.45662100456621,1885.29680365297,447.264111996697,0.497749691567884,0.0162044360179175,1889.06880733945,444.799831116158,94.7640899002982,0,5.23591009970183,309.899910567905,297.392336703908,342.864624016205,327.724561605399,1.7440842577666,94.7640899002982,3.49182584193523,0.115485182002964,0.0113539850890009,0.0064080389936665,0.0151830969518275,0.013206483149816,0.0203650609947616,0.0274283882668038,0.011955684794185,0,0,0.0125938492918126,0.0123924559617425,0.0153331335090713,0.0119680739204601,2.53957781914841,2.93487738262835,0.45871559633027,219,228.108916029245,0.0045662100456621,0.0033441493405742,0.372770147237271,0.957342363973186,142.771948088545,0.0190975512180742,0.226622870738846,70,0.842696629213483,89
"3","Rif1 KO","20220425","20220425_Rif1_4",25.4,15.6284144752327,0.0407737788097694,0.0409871406368094,0.524795620642699,0.846692221419577,12.0951687928783,0.173732764588125,0.952331974255186,1,100,0,3.03030303030303,0,0,1378,0,0.125717246979489,0.0109544893998768,0.0073023313862551,0.0059216521517015,0.0123256148221385,0.015530836406128,3.30728174690471e-07,0.0052949849618819,0.0065107196820468,0.0068494403263123,0.0054999433519468,0,1.42578656783666e-05,0.0062375247533012,2.83070717275115,13.8594710269776,0,1840.42424242424,589.717961879931,0.49362947252439,0.0211407908520547,1840.42424242424,589.717961879931,80.4571360230235,0,19.5428639769765,395.706839073424,120.482087428472,341.620568414605,406.629315047699,0.000297655357221424,80.4571360230235,19.5425663216193,0.110005419953344,0.0132553812458244,9.24884574405104e-07,0.0157421881199778,0.0125340959740228,0.0215835170115372,0.0386063429967472,0.0107900128281751,0,2.56642346120291e-05,0.0123356238396074,0.0126883623812223,0.0139229333325501,0.0113843115541569,2.83070717275115,13.8594710269776,0,33,22.6260609644169,0.0303030303030303,0.0398465333859553,0.629069585563845,0.792170884065603,12.3287977778106,0.17256926156115,0.942125776888234,45,0.759259259259259,54
"4","Brca1 KO","20220425","20220425_BRCA1_5",160.3,122.147330518705,0.0062440977834711,0.0045556195646151,0.367601496803913,0.955094075907581,104.534996792565,0.0315068493150684,0.344467860906217,1,100,0,2.31213872832369,0.5492579771852,0,1813,328,0.126077622192002,0.0107987270251444,0.0071966271278832,0.0060455401139462,0.0115873075997709,0.0125070458427824,0.0027190260341766,0.0052151867567245,0.0067396464810317,0.0065811325488747,0.0062921727769633,0,0,0.006045942462165,2.66955264732752,3.74822673110737,1.15606936416184,1930.93063583815,477.752887775897,0.499524370207095,0.0173480195735206,1930.93063583815,477.752887775897,94.9941349398704,0,5.00586506012955,246.045565285244,133.864849061446,379.295518841922,354.882143763042,0.56521919667136,94.9941349398704,4.44064586345818,0.1222146863445,0.0112994983454905,0.0064021033128329,0.0152735788744048,0.0130976656834564,0.0197523792716792,0.0261764972268679,0.0118266318634237,0,0,0.0127599372539304,0.0122021319879852,0.015772484978507,0.0110501006083997,2.66955264732752,3.74822673110737,1.15606936416184,173,183.318263748498,0.0057803468208092,0.0042051831622115,0.357637677390273,0.957184546087107,113.354008148853,0.0331178811293344,0.255047687222351,9,1,9
"5","Lig4 KO","20220425","20220425_Lig4_4",154.9,17.212946332614,0.0064816590683052,0.0432555342903874,0.759178768134711,0.539822274453478,3.39816834589392,0.536354056902002,0.666596417281349,0.99618320610687,99.618320610687,0.38167938931297,1.90839694656488,15.1076390114308,0,1647,410,0.120102729570875,0.0130638307892237,0.0070981517336046,0.0061609556716194,0.0114047356668995,0.0071203648899268,0.0031815143856124,0.005618454446393,0.0065960769706744,0.0067493995075819,0.0061940718455934,0.0017786035887889,0.0005928678629296,0.0066753457800123,2.51792684407983,5.62829325007961,0.76335877862595,1786.73282442748,474.43327098467,0.495317405158638,0.0159074414459851,1788.12643678161,474.805734937405,92.1316658992666,0,7.86833410073335,271.974759028134,177.390520313896,320.752358503822,364.641828683689,4.2972950590015,92.1316658992666,3.57103904173184,0.121758067872259,0.0123225473715695,0.0074235035786873,0.0150587215162754,0.0133560624181231,0.0193743869641692,0.0147681045593934,0.0124869344511588,0,0.001115080450371,0.0125171147398038,0.0124803878303534,0.0154174573323997,0.0121382854538427,2.52412824229681,5.64752581543308,0.76628352490421,262,26.1101176323796,0.0038167938931297,0.0332605168780585,0.792535931394968,0.5158021771765,3.41820542035967,0.533410550700221,0.656881120353796,35,0.938775510204082,49
"6","WT","20220425","20220425_WT_2",302.6,91.68187351523,0.0033087259140009,0.0144746188962157,0.570677214397229,0.790456609840296,15.0726679392229,0.243308746048472,0.368071654373024,0.998461538461538,99.8461538461538,0.15384615384615,1.38461538461538,1.90397617858467,0.35611406303157,1737,403,0.108834857035572,0.0132297337422418,0.0070276230837191,0.0062436169650126,0.0114739018577991,0.0116768943629658,0.0029697296250716,0.0057698222156153,0.0066847845680697,0.006645432045474,0.0056837638189537,0.0006829205217579,0.0004328895110597,0.0060615797519605,2.27121817001283,5.69844371952136,0.92307692307692,1810.58,443.371461452775,0.496025521702084,0.0158486200860356,1811.13251155624,443.489258088706,84.023854096688,0,15.976145903312,341.32166420155,320.45806505197,331.78340935786,384.731211747385,6.23480120904792,84.023854096688,9.74134469426406,0.105889464398365,0.0123653387578064,0.0074030480886042,0.0149537268844474,0.0134823334951673,0.0196553051027005,0.0258742927720613,0.0125684636545612,0,0.0008310131370218,0.0126403048515021,0.0123392214791799,0.0132893168147754,0.0110797067337874,2.27121817001283,5.69844371952136,0.92449922958397,650,187.284853083293,0.0015384615384615,0.0096461464879729,0.662983963697257,0.760461493901221,16.1481220104759,0.234851993768159,0.357299254705461,37,0.946428571428571,56
"7","WT","20220425","20220425_WT_3",193.7,64.3482740201781,0.0051706824409196,0.0191231485377059,0.584345449942937,0.790213765296086,13.2723149245572,0.261749209694415,0.439093782929399,0.992094861660079,99.2094861660079,0.79051383399209,2.76679841897233,0.34464100089563,0.6824574275161,1826,500,0.113969312823532,0.0091874540684377,0.0071693110794568,0.0060775551872105,0.0124359414666195,0.0101324666185902,0.0032495328884355,0.0053553674861638,0.0066921616264035,0.0066367859536474,0.0059434813371824,0.0017241207118715,0,0.0061155496409629,2.42210124210193,5.88787710374215,0,1926.50592885375,442.532423238143,0.498261417037278,0.0143280317511149,1931.0796812749,440.525493907411,86.1924598399384,0,13.8075401600617,266.69631784276,187.129197938783,296.762356321732,331.147580885569,5.17470849804307,86.1924598399384,8.63283166201858,0.110812389990466,0.0086665868047054,0.0080022716386851,0.0153107889021777,0.0130529152976326,0.0214483394128243,0.0221796665102034,0.0116026418073852,0,0,0.0126475612767947,0.0123309061763768,0.0140635254420399,0.0111932979047932,2.42210124210193,5.88787710374215,0,253,102.878894741711,0.0039525691699604,0.0171102129013733,0.596387209441217,0.779676763827998,12.8653875688596,0.26741076129304,0.389744129725176,86,0.87378640776699,103
"8","WT","20221118","20221118_WT_7_switch",184.6,103.830950038664,0.0054288925151116,0.0103632124880285,0.474015125130922,0.894388802604848,40.0089030454258,0.135300316122234,0.373340358271865,1,100,0,4.76190476190476,0.77503791116545,0.77503791116545,1763,438.5,0.130160381602354,0.0131153826065151,0.007139514613986,0.0061124773695912,0.0120279391031541,0.0206680420787024,0.0020062271518663,0.0056591715371269,0.0067004368655055,0.0066270871721109,0.0064631472808276,0.0009840509244156,0.0021292632541287,0.0066386117861368,2.40654160317843,5.01168414714839,0.86580086580086,1822.2987012987,446.461976050502,0.495643529828254,0.0166184806590922,1822.2987012987,446.461976050502,90.9263054160029,0,9.07369458399709,435.924616602142,227.369189026613,338.670109128476,315.942870359047,5.12691897858573,90.9263054160029,3.94677560541136,0.132532498991154,0.0117552921828335,0.0046994893926262,0.0151643222680203,0.0132290623950994,0.0202086539185212,0.0430345617421393,0.012392749812786,0,0.0024864170361109,0.0126509528359474,0.0123270197115966,0.0153521977611928,0.0122415123975746,2.40654160317843,5.01168414714839,0.86580086580086,231,173.418652579075,0.0043290043290043,0.0089036129080663,0.487392008503939,0.892892844163845,44.3221182016468,0.13077814046541,0.267031694219227,45,0.90625,64
"9","Brca1 KO","20221118","20221118_BRCA1_7_switch",82.7,67.7667947656802,0.0121143203523945,0.008177813000604,0.352336192627193,0.95269476405272,56.7075131693862,0.050817093720683,0.779444385162263,1,100,0,0,0,0,1848,0,0.132894172358413,0.0101492300390253,0.0073656523568116,0.0058474384338208,0.0130876352353208,0.0117847977006571,0.0018690047737805,0.0049739051950517,0.0066805385783435,0.0066504084487239,0.006202348296118,0,0.0024839307703757,0.0066643700988851,2.48734275122882,5.11702139997105,0,2003.93975903614,502.355520184842,0.501317516594727,0.0184412508746857,2003.93975903614,502.355520184842,97.6470588235294,0,2.35294117647058,429.129789272031,3.97874062576187,387.172007369634,294.015983356476,0,97.6470588235294,2.35294117647058,0.130365664055674,0.0096378844338893,0.0043065923251268,0.0156017012473926,0.0127030515520658,0.0219346721786226,0.0241375374591773,0.0109198567920241,0,0.0044710753866764,0.0126573687390244,0.0123196675823196,0.0157010495328302,0.0121633727873009,2.48734275122882,5.11702139997105,0,83,87.8050473837147,0.0120481927710843,0.0080524378984516,0.344905811089663,0.953566655556824,57.5863816231692,0.0537016574585635,0.801473296500921,54,0.788732394366197,71
"10","Lig4 KO","20221118","20221118_Lig4_7_switch",131.9,28.787942083009,0.0076067061890704,0.0290917175036848,0.714384940204394,0.66395766918644,8.42802178261117,0.249947312961011,0.628977871443625,1,100,0,2.85714285714285,8.95539424919154,0.50290824272034,1381,410,0.114816187670923,0.018446161561796,0.0066956839708517,0.0066326576802672,0.0098318566551159,0.0175546660077132,0.0061350517994154,0.0065301750955667,0.0065252413707209,0.0068324205539218,0.0057751622812752,0,0.0010503306779307,0.0068448686585366,2.40754694714182,5.33830619079603,0.57142857142857,1595.74857142857,465.702817176932,0.4887950377913,0.0154212322889411,1595.74857142857,465.702817176932,94.9808893272587,0,5.01911067274128,225.270578606889,115.873582285031,249.692817202903,380.03763806772,3.88823062919566,94.9808893272587,1.13088004354562,0.116296078830628,0.0176280006115463,0.0139617572754409,0.0142009822135735,0.0143876167337073,0.0162827978569437,0.0355109178992286,0.0144078460176144,0,0.0019670798203509,0.0124087328304175,0.0126045851256588,0.0145240269885316,0.0124441379679483,2.40754694714182,5.33830619079603,0.57142857142857,175,42.5703269837776,0.0057142857142857,0.0248064504618555,0.727704865768784,0.656186075286197,8.86627610030016,0.239504821255632,0.612531053939113,14,1,14
