"","isotype","n_homology","n","frac","Sample","celltype","Genotype"
"1","Se","0",103,0.249394673123487,"SRR2104731","spleen","WT"
"2","Se","1",95,0.230024213075061,"SRR2104731","spleen","WT"
"3","Se","2",71,0.171912832929782,"SRR2104731","spleen","WT"
"4","Se","3",80,0.193704600484261,"SRR2104731","spleen","WT"
"5","Se","4",40,0.0968523002421307,"SRR2104731","spleen","WT"
"6","Se","5",18,0.0435835351089588,"SRR2104731","spleen","WT"
"7","Se","6",5,0.0121065375302663,"SRR2104731","spleen","WT"
"8","Se","8",1,0.00242130750605327,"SRR2104731","spleen","WT"
"9","Sg1","0",284,0.239864864864865,"SRR2104731","spleen","WT"
"10","Sg1","1",237,0.200168918918919,"SRR2104731","spleen","WT"
"11","Sg1","2",237,0.200168918918919,"SRR2104731","spleen","WT"
"12","Sg1","3",155,0.130912162162162,"SRR2104731","spleen","WT"
"13","Sg1","4",90,0.0760135135135135,"SRR2104731","spleen","WT"
"14","Sg1","5",54,0.0456081081081081,"SRR2104731","spleen","WT"
"15","Sg1","6",51,0.0430743243243243,"SRR2104731","spleen","WT"
"16","Sg1","7",42,0.035472972972973,"SRR2104731","spleen","WT"
"17","Sg1","8",9,0.00760135135135135,"SRR2104731","spleen","WT"
"18","Sg1","9",1,0.000844594594594595,"SRR2104731","spleen","WT"
"19","Sa","1",1,1,"SRR2104732","spleen","WT"
"20","Se","0",151,0.235202492211838,"SRR2104732","spleen","WT"
"21","Se","1",153,0.238317757009346,"SRR2104732","spleen","WT"
"22","Se","2",146,0.227414330218069,"SRR2104732","spleen","WT"
"23","Se","3",109,0.169781931464174,"SRR2104732","spleen","WT"
"24","Se","4",49,0.0763239875389408,"SRR2104732","spleen","WT"
"25","Se","5",24,0.0373831775700935,"SRR2104732","spleen","WT"
"26","Se","6",7,0.0109034267912773,"SRR2104732","spleen","WT"
"27","Se","7",1,0.00155763239875389,"SRR2104732","spleen","WT"
"28","Sg1","0",555,0.257899628252788,"SRR2104732","spleen","WT"
"29","Sg1","1",429,0.199349442379182,"SRR2104732","spleen","WT"
"30","Sg1","2",454,0.210966542750929,"SRR2104732","spleen","WT"
"31","Sg1","3",270,0.12546468401487,"SRR2104732","spleen","WT"
"32","Sg1","4",160,0.0743494423791822,"SRR2104732","spleen","WT"
"33","Sg1","5",92,0.0427509293680297,"SRR2104732","spleen","WT"
"34","Sg1","6",69,0.0320631970260223,"SRR2104732","spleen","WT"
"35","Sg1","7",64,0.0297397769516729,"SRR2104732","spleen","WT"
"36","Sg1","8",6,0.00278810408921933,"SRR2104732","spleen","WT"
"37","Se","0",201,0.232638888888889,"SRR2104733","spleen","WT"
"38","Se","1",203,0.234953703703704,"SRR2104733","spleen","WT"
"39","Se","2",192,0.222222222222222,"SRR2104733","spleen","WT"
"40","Se","3",150,0.173611111111111,"SRR2104733","spleen","WT"
"41","Se","4",79,0.0914351851851852,"SRR2104733","spleen","WT"
"42","Se","5",28,0.0324074074074074,"SRR2104733","spleen","WT"
"43","Se","6",5,0.00578703703703704,"SRR2104733","spleen","WT"
"44","Se","7",1,0.00115740740740741,"SRR2104733","spleen","WT"
"45","Sg1","0",401,0.253958201393287,"SRR2104733","spleen","WT"
"46","Sg1","1",320,0.202659911336289,"SRR2104733","spleen","WT"
"47","Sg1","2",345,0.218492716909436,"SRR2104733","spleen","WT"
"48","Sg1","3",185,0.117162761241292,"SRR2104733","spleen","WT"
"49","Sg1","4",135,0.0854971500949968,"SRR2104733","spleen","WT"
"50","Sg1","5",58,0.0367321089297023,"SRR2104733","spleen","WT"
"51","Sg1","6",53,0.0335655478150728,"SRR2104733","spleen","WT"
"52","Sg1","7",39,0.0246991766941102,"SRR2104733","spleen","WT"
"53","Sg1","8",6,0.00379987333755541,"SRR2104733","spleen","WT"
"54","Sa","0",1,0.5,"SRR2104734","spleen","WT"
"55","Sa","2",1,0.5,"SRR2104734","spleen","WT"
"56","Se","0",1027,0.240515222482436,"SRR2104734","spleen","WT"
"57","Se","1",962,0.225292740046838,"SRR2104734","spleen","WT"
"58","Se","2",922,0.215925058548009,"SRR2104734","spleen","WT"
"59","Se","3",696,0.162997658079625,"SRR2104734","spleen","WT"
"60","Se","4",350,0.0819672131147541,"SRR2104734","spleen","WT"
"61","Se","5",151,0.0353629976580796,"SRR2104734","spleen","WT"
"62","Se","6",50,0.0117096018735363,"SRR2104734","spleen","WT"
"63","Se","7",7,0.00163934426229508,"SRR2104734","spleen","WT"
"64","Sg1","0",1076,0.26430852370425,"SRR2104734","spleen","WT"
"65","Sg1","1",916,0.225006140997298,"SRR2104734","spleen","WT"
"66","Sg1","2",750,0.184229918938836,"SRR2104734","spleen","WT"
"67","Sg1","3",556,0.136575779906657,"SRR2104734","spleen","WT"
"68","Sg1","4",286,0.070253009088676,"SRR2104734","spleen","WT"
"69","Sg1","5",137,0.0336526651928273,"SRR2104734","spleen","WT"
"70","Sg1","6",94,0.0230901498403341,"SRR2104734","spleen","WT"
"71","Sg1","7",76,0.018668631785802,"SRR2104734","spleen","WT"
"72","Sg1","8",18,0.00442151805453206,"SRR2104734","spleen","WT"
"73","Sg1","9",2,0.000491279783836895,"SRR2104734","spleen","WT"
"74","Se","0",515,0.224890829694323,"SRR2104735","spleen","WT"
"75","Se","1",592,0.258515283842795,"SRR2104735","spleen","WT"
"76","Se","2",490,0.213973799126638,"SRR2104735","spleen","WT"
"77","Se","3",372,0.162445414847162,"SRR2104735","spleen","WT"
"78","Se","4",174,0.0759825327510917,"SRR2104735","spleen","WT"
"79","Se","5",89,0.0388646288209607,"SRR2104735","spleen","WT"
"80","Se","6",13,0.00567685589519651,"SRR2104735","spleen","WT"
"81","Se","7",6,0.00262008733624454,"SRR2104735","spleen","WT"
"82","Se","8",1,0.000436681222707424,"SRR2104735","spleen","WT"
"83","Sg1","0",1005,0.256508422664625,"SRR2104735","spleen","WT"
"84","Sg1","1",870,0.222052067381317,"SRR2104735","spleen","WT"
"85","Sg1","2",734,0.187340479836651,"SRR2104735","spleen","WT"
"86","Sg1","3",539,0.137570188871873,"SRR2104735","spleen","WT"
"87","Sg1","4",285,0.0727411944869832,"SRR2104735","spleen","WT"
"88","Sg1","5",161,0.0410923940786115,"SRR2104735","spleen","WT"
"89","Sg1","6",97,0.0247575293517101,"SRR2104735","spleen","WT"
"90","Sg1","7",77,0.0196528841245533,"SRR2104735","spleen","WT"
"91","Sg1","8",12,0.00306278713629403,"SRR2104735","spleen","WT"
"92","Sa","0",2,0.4,"SRR2104736","spleen","Atm"
"93","Sa","1",1,0.2,"SRR2104736","spleen","Atm"
"94","Se","0",304,0.162479957242117,"SRR2104736","spleen","Atm"
"95","Se","1",318,0.169962586851951,"SRR2104736","spleen","Atm"
"96","Se","2",417,0.222875467664351,"SRR2104736","spleen","Atm"
"97","Se","3",386,0.206306787814003,"SRR2104736","spleen","Atm"
"98","Se","4",242,0.129342597541422,"SRR2104736","spleen","Atm"
"99","Se","5",121,0.0646712987707108,"SRR2104736","spleen","Atm"
"100","Se","6",37,0.019775521111705,"SRR2104736","spleen","Atm"
"101","Se","7",9,0.00481026189203634,"SRR2104736","spleen","Atm"
"102","Se","8",4,0.00213789417423838,"SRR2104736","spleen","Atm"
"103","Se","9",1,0.000534473543559594,"SRR2104736","spleen","Atm"
"104","Sg1","0",976,0.185904761904762,"SRR2104736","spleen","Atm"
"105","Sg1","1",890,0.16952380952381,"SRR2104736","spleen","Atm"
"106","Sg1","2",1112,0.211809523809524,"SRR2104736","spleen","Atm"
"107","Sg1","3",845,0.160952380952381,"SRR2104736","spleen","Atm"
"108","Sg1","4",556,0.105904761904762,"SRR2104736","spleen","Atm"
"109","Sg1","5",291,0.0554285714285714,"SRR2104736","spleen","Atm"
"110","Sg1","6",185,0.0352380952380952,"SRR2104736","spleen","Atm"
"111","Sg1","7",165,0.0314285714285714,"SRR2104736","spleen","Atm"
"112","Sg1","8",28,0.00533333333333333,"SRR2104736","spleen","Atm"
"113","Sg1","9",4,0.000761904761904762,"SRR2104736","spleen","Atm"
"114","Sa","0",1,0.333333333333333,"SRR2104737","spleen","Atm"
"115","Se","0",256,0.19047619047619,"SRR2104737","spleen","Atm"
"116","Se","1",256,0.19047619047619,"SRR2104737","spleen","Atm"
"117","Se","2",299,0.222470238095238,"SRR2104737","spleen","Atm"
"118","Se","3",260,0.193452380952381,"SRR2104737","spleen","Atm"
"119","Se","4",154,0.114583333333333,"SRR2104737","spleen","Atm"
"120","Se","5",65,0.0483630952380952,"SRR2104737","spleen","Atm"
"121","Se","6",19,0.0141369047619048,"SRR2104737","spleen","Atm"
"122","Se","7",8,0.00595238095238095,"SRR2104737","spleen","Atm"
"123","Se","8",2,0.00148809523809524,"SRR2104737","spleen","Atm"
"124","Sg1","0",830,0.187782805429864,"SRR2104737","spleen","Atm"
"125","Sg1","1",727,0.16447963800905,"SRR2104737","spleen","Atm"
"126","Sg1","2",1002,0.226696832579186,"SRR2104737","spleen","Atm"
"127","Sg1","3",710,0.160633484162896,"SRR2104737","spleen","Atm"
"128","Sg1","4",420,0.0950226244343891,"SRR2104737","spleen","Atm"
"129","Sg1","5",260,0.0588235294117647,"SRR2104737","spleen","Atm"
"130","Sg1","6",138,0.0312217194570136,"SRR2104737","spleen","Atm"
"131","Sg1","7",145,0.0328054298642534,"SRR2104737","spleen","Atm"
"132","Sg1","8",21,0.00475113122171946,"SRR2104737","spleen","Atm"
"133","Sg1","9",6,0.00135746606334842,"SRR2104737","spleen","Atm"
"134","Sa","3",2,1,"SRR2104738","spleen","Atm"
"135","Se","0",352,0.204176334106729,"SRR2104738","spleen","Atm"
"136","Se","1",340,0.197215777262181,"SRR2104738","spleen","Atm"
"137","Se","2",394,0.228538283062645,"SRR2104738","spleen","Atm"
"138","Se","3",299,0.173433874709977,"SRR2104738","spleen","Atm"
"139","Se","4",170,0.0986078886310905,"SRR2104738","spleen","Atm"
"140","Se","5",108,0.0626450116009281,"SRR2104738","spleen","Atm"
"141","Se","6",17,0.00986078886310905,"SRR2104738","spleen","Atm"
"142","Se","7",14,0.00812064965197216,"SRR2104738","spleen","Atm"
"143","Se","8",3,0.00174013921113689,"SRR2104738","spleen","Atm"
"144","Sg1","0",952,0.19568345323741,"SRR2104738","spleen","Atm"
"145","Sg1","1",767,0.157656731757451,"SRR2104738","spleen","Atm"
"146","Sg1","2",1047,0.215210688591984,"SRR2104738","spleen","Atm"
"147","Sg1","3",821,0.168756423432682,"SRR2104738","spleen","Atm"
"148","Sg1","4",440,0.0904419321685509,"SRR2104738","spleen","Atm"
"149","Sg1","5",296,0.0608427543679342,"SRR2104738","spleen","Atm"
"150","Sg1","6",164,0.033710174717369,"SRR2104738","spleen","Atm"
"151","Sg1","7",172,0.0353545734840699,"SRR2104738","spleen","Atm"
"152","Sg1","8",18,0.00369989722507708,"SRR2104738","spleen","Atm"
"153","Sg1","9",9,0.00184994861253854,"SRR2104738","spleen","Atm"
"154","Sa","2",1,0.5,"SRR2104739","spleen","Trp53bp1"
"155","Sa","3",1,0.5,"SRR2104739","spleen","Trp53bp1"
"156","Se","0",5,0.0746268656716418,"SRR2104739","spleen","Trp53bp1"
"157","Se","1",9,0.134328358208955,"SRR2104739","spleen","Trp53bp1"
"158","Se","2",21,0.313432835820896,"SRR2104739","spleen","Trp53bp1"
"159","Se","3",18,0.26865671641791,"SRR2104739","spleen","Trp53bp1"
"160","Se","4",5,0.0746268656716418,"SRR2104739","spleen","Trp53bp1"
"161","Se","5",8,0.119402985074627,"SRR2104739","spleen","Trp53bp1"
"162","Se","6",1,0.0149253731343284,"SRR2104739","spleen","Trp53bp1"
"163","Sg1","0",27,0.125581395348837,"SRR2104739","spleen","Trp53bp1"
"164","Sg1","1",24,0.111627906976744,"SRR2104739","spleen","Trp53bp1"
"165","Sg1","2",43,0.2,"SRR2104739","spleen","Trp53bp1"
