"","Donor","ncells","Batch","sample","clusters_raw","alpha_ratio_clusters","cluster_gini_raw","cluster_inverse_simpson_raw"
"1","A",100000,"20211102","20211102_84_n100000_1",13353,0.551486557327941,0.56925584122354,3004.91728521179
"2","A",10000,"20211102","20211102_84_n10000_1",6973,0.469955542807974,0.663486411469044,1573.48017279196
"3","A",10000,"20211102","20211102_84_n10000_2",7534,0.547783382001593,0.672244392967341,1571.47235380774
"4","A",150000,"20211102","20211102_84_n150000_1",13721,0.544202317615334,0.570629981110744,2913.17125326192
"5","A",150000,"20211102","20211102_84_n150000_2",14193,0.508771929824561,0.566601833787347,2877.5982391227
"6","A",200000,"20211102","20211102_84_n200000_1",14403,0.558078178157328,0.566710853859296,2921.0389704045
"7","A",25000,"20211102","20211102_84_n25000_2",9028,0.48349579087284,0.623680902901366,1982.2392677816
"8","A",50000,"20211102","20211102_84_n50000_1",11886,0.489483425879186,0.591806851432893,2771.22278068679
"9","A",50000,"20211102","20211102_84_n50000_2",11279,0.496231935455271,0.591010991106849,2567.04756448752
"10","A",5000,"20211102","20211102_84_n5000_1",3393,0.497200117889773,0.586299105657848,1020.35049521012
"11","A",5000,"20211102","20211102_84_n5000_2",1889,0.606140815246162,0.590505463855272,517.998952547652
"12","A",500,"20211102","20211102_84_n500_1",623,0.48314606741573,0.668896045699663,150.813989940576
"13","A",500,"20211102","20211102_84_n500_2",506,0.509881422924901,0.702889830501954,121.866125732547
"14","A",100000,"20211122","20211122_84_n100000_3",14100,0.525673758865248,0.556829671218168,3303.38383385824
"15","A",10000,"20211122","20211122_84_n10000_3",7048,0.469069239500568,0.663706908436261,1559.34898956842
"16","A",150000,"20211122","20211122_84_n150000_3",16266,0.480142628796262,0.532897043368883,3469.99872498612
"17","A",200000,"20211122","20211122_84_n200000_2",15457,0.504496344698195,0.55141852306891,3274.50229242954
"18","A",200000,"20211122","20211122_84_n200000_3",15307,0.504409747174495,0.553965977117062,3225.76517442384
"19","A",25000,"20211122","20211122_84_n25000_3",9934,0.514395007046507,0.612575686535073,2264.44058911557
"20","A",50000,"20211122","20211122_84_n50000_3",12377,0.562494950311061,0.570285526930633,2844.01593976546
"21","A",5000,"20211122","20211122_84_n5000_3",3385,0.493648449039882,0.625485232400135,946.60566652458
"22","A",500,"20211122","20211122_84_n500_3",438,0.616438356164384,0.565175993611402,175.231609170401
