"","sample","nclones","rep","nreads","clusters","clusters_eff","cluster_size_mean","cluster_size_std","cluster_gini","cluster_entropy","cluster_inverse_simpson","occupancy_top_cluster","occupancy_big_clusters","alpha_ratio_clusters","pct_clusters_SA1","pct_clusters_SA2","pct_clusters_SG1","pct_clusters_SG2","pct_clusters_SG3","pct_clusters_SG4","pct_clusters_SM","pct_templated_inserts","pct_inversions","pct_duplications","duplication_size","homology_score_fw","homology_score_rv","donor_score_S","donor_score_W","donor_score_WGCW","donor_score_GAGCT","donor_score_GGGST","donor_complexity","acceptor_score_S","acceptor_score_W","acceptor_score_WGCW","acceptor_score_GAGCT","acceptor_score_GGGST","acceptor_complexity","homology","untemplated_inserts","pct_blunt","read_length_mean","read_length_std","GC_content_mean","GC_content_std","read_length_SA_mean","read_length_SG_mean","read_length_SA_std","read_length_SG_std","pct_direct_switch","pct_sequential_switch","pct_intraswitch_deletion","intraswitch_size_mean","intraswitch_size_std","break_dispersion_SM","break_dispersion_SA","break_dispersion_SG","pct_breaks_SM_SM","pct_breaks_SM_SG","pct_breaks_SG_SG","pct_breaks_SM_SA","pct_breaks_SG_SA","pct_breaks_SA_SA","homology_score_fw_SM_SA","homology_score_rv_SM_SA","homology_score_fw_SM_SG","homology_score_rv_SM_SG","donor_score_GAGCT_SM_SG","donor_score_GGGST_SM_SA","donor_score_GGGST_SM_SG","donor_score_S_SM_SA","donor_score_S_SM_SG","donor_score_W_SM_SA","donor_score_W_SM_SG","donor_score_WGCW_SM_SA","donor_score_WGCW_SM_SG","donor_score_GAGCT_SM_SA","donor_complexity_SM_SG","donor_complexity_SM_SA","acceptor_score_GAGCT_SM_SA","acceptor_score_GAGCT_SM_SG","acceptor_score_GGGST_SM_SA","acceptor_score_GGGST_SM_SG","acceptor_score_S_SM_SA","acceptor_score_WGCW_SM_SG","acceptor_score_S_SM_SG","acceptor_score_W_SM_SA","acceptor_score_W_SM_SG","acceptor_score_WGCW_SM_SA","acceptor_complexity_SM_SA","acceptor_complexity_SM_SG","homology_SA","homology_SG","untemplated_inserts_SA","untemplated_inserts_SG","pct_blunt_SA","pct_blunt_SG","clusters_raw","clusters_eff_raw","cluster_size_mean_raw","cluster_size_std_raw","cluster_gini_raw","cluster_entropy_raw","cluster_inverse_simpson_raw","occupancy_top_cluster_raw","occupancy_big_clusters_raw","somatic_variants","frac_variants_transitions","num_variants"
"1","mix_n10_s1_10k",10,"1","10k",11.4,11.3634865843828,0.0878787878787878,0.0277609189295029,0.160812469290233,0.972934131167531,10.3237338012626,0.120335801285737,1,0.818181818181818,27.2727272727273,54.5454545454545,9.09090909090909,0,9.09090909090909,0,0,0,0,0,1339,0.269907375077007,0.0166351593734512,0.0019442121875707,0.0021063672056768,0.0033267058760834,0,0,0.0014141489048504,0.0019801103342347,0.0020379224077298,0.0026170150526889,0.0006600660066006,5.15796260477114e-06,0.0014934948418596,3.92176487923549,0.891332872415162,0,1796.36363636364,521.441580921631,0.588036156846361,0.0264910191298315,1775.33333333333,1891,571.133376133223,129,73.3333333333334,13.3333333333333,13.3333333333333,393.710055229969,74.980873578043,289.902059207504,1724.96025292556,2149.90440845675,13.3333333333333,13.3333333333332,0,60.0000000000002,0,13.3333333333333,0.343357457454615,0.0078175463586832,0.103129320328794,0.0644095541726101,0,0,0,0.0102727730692795,0.0102727730692795,0.0095541928024735,0.0095541928024735,0.0123868544167456,0.0123868544167456,0,0.0078991090867502,0.0078991090867502,0,0.0056818181818181,0,6.04448742746622e-05,0.0070870859657748,0.0076838055561459,0.0041381468543959,0.0072546388582967,0.0037232415973201,0.0091605110639254,0.00612722571666,0.0038236259501446,4.4384337104054,1.59675513897086,0.972242398943269,0.527240003038679,0,0,11,13.7018868032888,0.0909090909090909,0.0253131641269473,0.126751802826209,0.981263330245671,10.2757335161022,0.110540945050246,1,0,0,0
"2","mix_n10_s2_10k",10,"2","10k",13.2,11.3524286947687,0.0762887112887112,0.0402008170265478,0.282435259318225,0.926452339263339,10.2056510655149,0.122144425399729,0.989756321391265,0.846153846153846,38.4615384615385,46.1538461538462,7.69230769230769,0,0,7.69230769230769,0,0,0,0,1771,0.193911771778079,0.0239867689520317,0.001827310816594,0.0023292558910212,0.0030182364590075,0.0010391555937692,0,0.0018553878466666,0.0019817804379184,0.0020347381233083,0.002645954750565,0.0015014791018415,0.0010495471497069,0.0015777110460615,2.05021679491847,7.47243069157884,7.69230769230769,1661.76923076923,375.334344048723,0.587868017828602,0.0219950104654125,1615.63636363636,1915.5,390.710837676262,2.5,68.2205647309537,5.24773574853485,26.5316995205114,300.575864178079,159.678968056226,334.997404212829,1672.45877879832,2081.14808128017,0,15.7432072456047,0,52.477357485349,5.24773574853485,26.5316995205114,0.190386851005275,0.02670518276759,0.043846295340529,0.038618047085651,0,0,0,0.0093269092029278,0.0093269092029278,0.0111000672563317,0.0111000672563317,0.0121474187326838,0.0121474187326838,0,0.0105895524215502,0.0105895524215502,0,0.0109462353364792,0,0.0104166666666665,0.0069134648151034,0.0050910573687309,0.0040346586649437,0.0076026263147926,0.0039305660864245,0.0095594052366529,0.0064859116798067,0.0039560488056168,2.20057387267984,1.22325286723093,8.78905296941686,0.231008163469725,9.09090909090909,0,13,14.4997021128673,0.0769230769230769,0.0418396975906807,0.261474269819193,0.927647872146978,10.2113962791214,0.109767839948647,0.981170429014657,1,1,1
"3","mix_n25_s1_10k",25,"1","10k",24.7,24.5777596065101,0.0405128205128204,0.0070896479684266,0.095872945406164,0.994836280041258,23.9414638916396,0.0546983348526402,0.99915611814346,0.75,41.6666666666667,33.3333333333333,8.33333333333333,12.5,4.16666666666666,0,0,0,0,0,1348,0.194915994723107,0.0191851448433296,0.0019407913777547,0.0021128894542727,0.0030444862052437,0.0003118358301798,0.000625,0.0015256089009931,0.0019669984910869,0.0020629219561289,0.0025980918167068,0.0009330522896039,3.34224598930481e-06,0.0017401262605341,2.55939825896093,0.611999302792112,0,1658.95833333333,488.870848586027,0.585662178647408,0.0236738980918799,1629.05555555556,1748.66666666667,546.083781954363,225.00271603299,75,6.24999999999998,18.75,524.93589059092,347.076053271978,286.172966507073,1684.69234416019,2025.00408224809,6.25,21.875,3.12500000000001,53.125,3.12499999999998,12.5,0.253109575236524,0.0151020008449287,0.0856630779110091,0.0363889746554956,5.03423278292388e-05,0,0,0.0100835871273534,0.0100835871273534,0.0098633892154633,0.0098633892154633,0.0113707811994505,0.0113707811994505,5.03423278292388e-05,0.0082895814124015,0.0082895814124015,0,0.0042835582386363,0,2.0889037433155e-05,0.0069415351526276,0.0063114504980313,0.0039734040715274,0.0075463651661927,0.0040532813194628,0.0091438332539458,0.0070318224572929,0.0039600417085484,2.78224489194416,1.89085836001124,0.667692447909604,0.444919867439636,0,0,24,30.3075417764326,0.0416666666666666,0.0027888575927636,0.0357357275406613,0.999309524803194,23.8974011651432,0.0450824145835607,1,0,0,0
"4","mix_n25_s2_10k",25,"2","10k",23.9,23.4322501892796,0.0419573268921094,0.0081225837175673,0.105049363704654,0.9923430520532,22.8981558128968,0.060075437015874,0.996838110736151,0.652173913043478,52.1739130434783,13.0434782608696,13.0434782608696,17.3913043478261,0,4.34782608695652,0,0,0,0,1603,0.138664060295813,0.0264920984329262,0.0018086426563364,0.002364849329001,0.0026605909242631,0.0009258835742951,0,0.0018654249362242,0.0020270205357331,0.0019484815991758,0.0025190885894385,0.0018300052525531,0.0006244386919541,0.0017124339385527,2.44728792569207,0.529672905711508,8.69565217391304,1704.65217391304,472.827260368359,0.596690562982395,0.024881367150578,1545.4,2003.25,457.310077154076,337.512499768527,71.8104495747266,9.36658037931219,18.8229700459612,532.012344343587,235.130745837591,428.922037127847,1242.93710193147,1678.36590581582,6.24438691954141,21.8553542183951,0,49.9550953563315,9.36658037931219,12.5785831264198,0.179108059208583,0.0229508869965413,0.0417725915553345,0.040375081542987,0.0066343042071197,0,0,0.0092707529298893,0.0092707529298893,0.0111918463706444,0.0111918463706444,0.0096868274453401,0.0096868274453401,0.0066343042071197,0.0105225860754924,0.0105225860754924,0,0.0074746131193138,0,0.0034722222222222,0.0071042530918888,0.0051197756620474,0.0040239693281828,0.0072202309274158,0.003951980716389,0.0088471213756911,0.0066969511196351,0.0040115762685517,2.87993418412951,1.63607619112185,0.611295928042191,0.376629738841477,6.66666666666666,12.5,23,29.576502575343,0.0434782608695652,0.0051486935417542,0.0471066281043094,0.998076229651065,22.6955712110749,0.0649807586586036,1,0,0,0
"5","mix_n100_s1_10k",100,"1","10k",97.9,92.0260157140663,0.0102211641254808,0.0033521535513132,0.183185223727999,0.988266885789817,88.3246336445922,0.0200353279458533,0.613845847202012,0.680412371134021,32.9896907216495,35.0515463917526,14.4329896907216,14.4329896907216,3.09278350515463,0,0,0,0,0,1592,0.191793854678057,0.0256129539594323,0.0019079355679772,0.0021755336147821,0.002855700086046,0.0007087119286646,0.0001859912940245,0.001605935152571,0.0020120549526098,0.0019770155600687,0.0027601775160191,0.0026109812890851,0.0006159722978944,0.0016619109159422,3.05060042449268,0.60706914543463,0,1775,495.173300914078,0.592791159752376,0.0218786710609714,1692.83333333333,1949.93548387097,487.554801374609,464.930305944941,72.9323308270677,3.00751879699248,24.0601503759398,756.107353189633,603.094373365465,669.749991400092,1692.6734534912,2084.90605693591,15.0375939849624,24.812030075188,2.25563909774435,48.1203007518797,1.50375939849624,8.27067669172932,0.247893216185461,0.0183521564924735,0.0617917603619944,0.0493216018139674,0.0053518083233845,0,0,0.0099680162101194,0.0099680162101194,0.010052272769341,0.010052272769341,0.0109160013334149,0.0109160013334149,0.0053518083233845,0.0087481883498791,0.0087481883498791,0.0018552875695732,0.0107472300188634,0,0.0035557428654499,0.0070678778142066,0.0058188725535254,0.0040259537761538,0.0072931375998519,0.0039480051452256,0.0098731581687648,0.0063768777017932,0.0039416409967921,3.54430580735005,1.99948573840925,0.714080167054619,0.379239228437234,0,0,97,115.604990330677,0.0103092783505154,0.0012428088536007,0.0682272856611297,0.998427191977941,95.624624178041,0.0133757961783439,0.614331210191083,1,1,2
"6","mix_n100_s2_10k",100,"2","10k",99.8,90.9685711374326,0.0100255180516177,0.0034489602343216,0.193019656348599,0.986915562963556,89.1799432688685,0.0198400315774929,0.603623870172561,0.57,35,22,26,12,4,1,0,0,0,0,1839.5,0.15573722780018,0.0332476861285399,0.0018531759155374,0.0022799404907686,0.0031419460735438,0.0006787384611809,0.0001032811144562,0.0017338783954222,0.0020208851881895,0.0019601794906265,0.0026668258894569,0.0029098113137678,0.0003869630443668,0.0017419808332936,2.60439538663571,0.557043527664964,1,1829.34,511.921677993812,0.597514756862797,0.0254666816681263,1687.57894736842,2017.25581395349,536.113595823648,408.048452037725,70.4189416747461,5.63351533397968,23.9475429912742,729.359289807425,587.779929294575,643.973605449052,1651.60291555187,2071.57748254368,13.3795989182018,30.9843343368883,0,39.4346073378578,3.5209470837373,12.6805123233148,0.202918021827986,0.0256330676582656,0.0733202312419038,0.0530684588393155,0.0098062050907319,0,0,0.0096576701657244,0.0096576701657244,0.010559487431993,0.010559487431993,0.0120718526136339,0.0120718526136339,0.0098062050907319,0.0096713904782782,0.0096713904782782,0,0.0100639257592756,0,0.0018665610183467,0.007047104833012,0.0053385562855964,0.0040679269335691,0.0073347727166669,0.0038639176424555,0.0093648427109305,0.0066307070655011,0.0039002991230032,3.28288775020087,1.70499853260748,0.709665332,0.354730903313869,1.75438596491228,0,100,121.517769773824,0.01,0.0016674504637972,0.0883699518727765,0.996745885486257,97.321150527325,0.0144381669805398,0.570412220129734,3,1,3
"7","mix_n250_s1_10k",250,"1","10k",226.2,189.724069364245,0.0044214522432932,0.001986235115407,0.241620710100312,0.982473473447346,188.18803278299,0.0127562657560923,0.0382680191896421,0.665289256198347,34.7107438016529,31.8181818181818,17.3553719008264,11.1570247933884,4.95867768595041,0,0,0,0,0,1657.5,0.177085167209218,0.0276603320023011,0.001868607323974,0.0022505183692768,0.0028236839274913,0.000541730174677,0.0001348278102664,0.0016658785463086,0.0020287742285928,0.0019451379403913,0.0027442162357743,0.0023354580064913,0.0006177538508771,0.0016429318030365,2.84223064810264,0.574177145503685,1.2396694214876,1741.38429752066,495.448770860137,0.593247863086499,0.024284601843905,1653.34782608696,1916.37037037037,503.086254670242,429.28517801149,74.6913580246913,4.62962962962962,20.679012345679,806.448538300093,673.797443803077,679.341119739992,1721.54648628165,2261.15434155602,14.1975308641975,26.2345679012346,3.08641975308642,48.4567901234568,1.23456790123456,6.79012345679012,0.224605865152036,0.0199041666357607,0.05530269625191,0.0469208424040786,0.0045207110893788,0,0,0.0097478680688664,0.0097478680688664,0.0104120723131592,0.0104120723131592,0.0109281960401614,0.0109281960401614,0.0045207110893788,0.0091486578277571,0.0091486578277571,0.0015612802498048,0.0087829578713425,0,0.0032919777579635,0.0070783758839101,0.0057833000987339,0.0040773728456272,0.0072720964043517,0.0038449940444882,0.0097811794186031,0.0062953793474593,0.003825816431939,3.37399151214427,1.78527386895817,0.672956546222217,0.377837842840923,1.86335403726708,0,242,280.123443250519,0.0041322314049586,0.0008656860567715,0.103725642180533,0.996392084773304,231.865789310323,0.0108787494719053,0.0108787494719053,1,1,1
"8","mix_n250_s2_10k",250,"2","10k",227.4,191.564766323772,0.0043985083930167,0.0020672708814374,0.254743158946446,0.980484487936821,186.219891957846,0.0128556375131717,0.038672286617492,0.638655462184874,34.8739495798319,28.9915966386555,22.2689075630252,9.66386554621848,3.36134453781512,0.42016806722689,0.42016806722689,0,0,0,1740.5,0.169841250364442,0.0282862960351542,0.0018719537201996,0.0022441380005169,0.0029870386522797,0.0004913893026611,0.0001495888559306,0.0016637430488437,0.0020266445951736,0.0019491983820192,0.0026837834020464,0.0024127530844604,0.0006276865719441,0.0016897533914768,2.94869040874271,0.664216121258032,0.84033613445378,1760.80672268908,465.6512612435,0.593258392138942,0.0257735729880005,1646.89473684211,1960.21176470588,442.959145643412,437.854987923887,74.7493710809898,4.41557466301205,20.8350542559982,749.383360976858,611.035788872669,627.743791810532,1714.64755591326,1893.39168060243,11.9851312281756,28.0704389291481,0.64393797168925,46.6789321518417,2.52318552172117,10.0983741974242,0.214224309874195,0.0181178980982718,0.065816106517802,0.0502292194252755,0.0066255023351797,0,0,0.0097755186688869,0.0097755186688869,0.0103668815011131,0.0103668815011131,0.0115045836077317,0.0115045836077317,0.0066255023351797,0.0091827023973325,0.0091827023973325,0.0014052023453529,0.0090875879026033,0.0008959713289174,0.0026704098567326,0.0070725904178988,0.0053919128884765,0.0041076104186285,0.0072836921667005,0.0037844171863227,0.0095226967944785,0.0064572784319476,0.0038275387356843,3.55976392797657,1.85594717434805,0.814174924178903,0.396054497211297,0.6578947368421,1.17647058823529,238,274.98045206924,0.0042016806722689,0.0010394011599327,0.122108993181176,0.994983331693434,224.329687317191,0.0097966922995891,0,0,0,0
"9","mix_n1000_s1_10k",1000,"1","10k",568.3,445.393329187392,0.0017601352188214,0.0009766703719735,0.264493363132074,0.979436734301462,434.649761540591,0.0072708113804003,0.0011591148577449,0.67032967032967,35.4945054945055,31.5384615384615,18.7912087912088,9.01098901098901,4.5054945054945,0.43956043956043,0.21978021978021,0,0,0,1637.5,0.187528332446044,0.0255843980161573,0.0018809496781702,0.0022269859583403,0.0028538600840637,0.0004572090783836,7.29517396184063e-05,0.001638958082207,0.0020306775773822,0.00194150894181,0.0027243756042868,0.0021487447884492,0.0007477305709628,0.0016334312054127,3.10924083928597,0.708641516301314,2.19780219780219,1734.08241758242,505.320597634962,0.591510579540647,0.0255249418845384,1648.7737704918,1907.97315436242,507.911539962194,453.848863858466,76.3468013468014,4.2087542087542,19.4444444444444,807.415039796734,608.701382839426,625.851694634124,1748.8947764361,2198.27935733403,12.1212121212121,25.7575757575758,2.44107744107744,50.5892255892256,1.43097643097643,7.65993265993266,0.234837904576686,0.0164137450662741,0.060821493841044,0.0472761665721533,0.0024800768794584,0,0,0.0098248682022442,0.0098248682022442,0.0102862269950676,0.0102862269950676,0.0109828074910753,0.0109828074910753,0.0024800768794584,0.0090043007868545,0.0090043007868545,0.0017418751461304,0.0081792181493125,0.0006705403868524,0.0035713886654152,0.0071138575735284,0.0055887408572495,0.0040620974046963,0.0072009807431854,0.0038755963093805,0.0096980682231635,0.0062328850922296,0.0038072872740942,3.72550452030485,1.8457368087261,0.663575960912913,0.798340523550004,1.47540983606557,3.69127516778523,910,974.437208400657,0.001098901098901,0.0004745307579219,0.214326038817546,0.988397467695246,767.112823799245,0.0061857831830572,0,0,0,0
"10","mix_n1000_s2_10k",1000,"2","10k",584.7,473.388323511682,0.0017106357028956,0.0009280808634275,0.257271559534212,0.980389594342058,451.787054875284,0.0072708113804003,0,0.652822151224707,35.4632587859425,29.8189563365282,18.5303514376997,9.90415335463258,5.32481363152289,0.85197018104366,0.10649627263045,0,0,0,1726,0.181607847432503,0.0261125597548823,0.0018811960233332,0.0022265162671036,0.0029217421129877,0.0004271493354461,0.0001514679137438,0.00164682533868,0.0020252489999015,0.0019518592780623,0.0027195259071242,0.0021864742922668,0.0006821876486724,0.0016607552493209,3.08874617218668,1.00703668449284,1.91693290734824,1744.60489882854,480.294434475945,0.593180842944418,0.0256289086410502,1660.02283849918,1902.96615384615,476.591438395759,446.15713212583,73.0319563522993,5.37802026500389,21.5900233826968,763.900796388965,616.558312113499,659.3445204345,1742.189967771,2218.9624713862,13.0943102104443,26.9680436477007,1.79267342166796,46.0639127045986,2.41621200311769,9.66484801247077,0.229648010522046,0.0146993469184754,0.0646116639374424,0.0466642342400911,0.0028908663424234,0,0,0.0098044099704387,0.0098044099704387,0.0103196629461006,0.0103196629461006,0.0112875474754575,0.0112875474754575,0.0028908663424234,0.0090662051971281,0.0090662051971281,0.0020318774410033,0.0082469962134205,0.0004492362982929,0.0033312950454371,0.0070891888513971,0.005512063448524,0.0040697571492072,0.0072504240617919,0.0038602510547597,0.0096344526450147,0.0063465569057235,0.0038276963877325,3.78868155957958,1.76448570159454,1.23596747243391,0.573905286320388,1.79445350734094,2.15384615384615,939,1006.98242000314,0.0010649627263045,0.0004511453020783,0.214483381153131,0.988491052311538,796.257068979165,0.0050446663163426,0,2,1,2
