BC09	20240603_FB36
BC10	20240603_FB37
BC11	20240603_FB38
BC12	20240603_FB39
BC13	20240603_FB40
BC14	20240603_FB41
BC15	20240603_FB42
BC16	20240603_FB43
BC17	20240603_FB44
BC18	20240603_FB45
BC19	20240603_FB46
BC20	20240603_FB47
BC21	20240603_FB48
BC22	20240603_FB49
BC23	20240603_FB50
BC24	20240603_FB51
BC25	20240603_FB52
BC26	20240603_FB53
BC27	20240603_FB54
BC28	20240603_FB55
BC29	20240603_FB56
BC30	20240603_FB57
BC31	20240603_FB58
BC32	20240603_FB59
BC33	20240603_FB60
BC34	20240603_FB61
BC35	20240603_FB62
BC36	20240603_FB63
BC37	20240603_FB64
BC38	20240603_FB65
BC39	20240603_FB66
BC40	20240603_TMD57
BC41	20240603_TC76
BC42	20240603_TW53
